NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
1207.0,200000163,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Ready Mix Proyek Barru,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.944,0.8750000000000001,0.01,0.9436499999999999,1.0,0.0
1208.0,201200666,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Gorontalo,PROCUREMENT DEPARTMENT,FINANCE & ACCOUNTING ADMIN STAFF,0.994,0.7427083333333333,0.01,0.96630625,0.9742857142857143,0.0
1209.0,201891282,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Gorontalo,PROCUREMENT DEPARTMENT,PRODUCTION & LOGISTIC ADMIN STAFF,0.892,0.7124999999999999,0.0,0.8650749999999999,1.0114285714285716,0.0
1210.0,201891281,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Pangkep,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.849,0.8187500000000001,0.0,0.8444625,1.0171428571428571,0.0
1211.0,201100540,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Wolo,PROCUREMENT DEPARTMENT,PROCUREMENT STAFF,0.901,0.7281249999999999,0.0,0.8750687500000001,1.0685714285714287,0.0
1212.0,201500838,PT. BUMI SARANA BETON,NON STAFF,Unit Kendari,PROCUREMENT DEPARTMENT,ATTENDANT LOGISTIC,0.974,0.9989583333333334,0.01,0.9877437499999999,1.1085714285714285,0.0
1213.0,201500782,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit KIMA 17,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.944,0.871875,0.01,0.9431812499999999,1.0171428571428571,0.45
1214.0,201500686,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,PROCUREMENT SECTION HEAD,0.886,0.8333333333333333,0.045,0.9231,1.0155555555555558,0.7
1215.0,201300551,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,LOGISTIC STAFF,0.91,0.8807291666666668,0.02,0.925609375,0.9514285714285714,1.0
1216.0,201491236,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,LOGISTIC STAFF,0.944,0.9927083333333332,0.0,0.9513062499999999,1.102857142857143,0.0
1217.0,200991152,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,PROCUREMENT STAFF,0.85,0.9942708333333332,0.01,0.881640625,1.1057142857142859,0.0
1218.0,200891145,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.0,0.7380208333333333,0.0,0.110703125,1.0085714285714287,0.0
1219.0,201091169,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.0,0.815625,0.0,0.12234375,1.0542857142857143,0.0
1220.0,200991156,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,PROCUREMENT DEPARTMENT,WAREHOUSE STAFF,0.91,0.7625000000000001,0.0,0.887875,0.9742857142857143,0.0
1221.0,201801107,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Head Office Wisma Kalla,PRODUCTION DIVISION,PRODUCTION GENERAL MANAGER,0.879,0.9947916666666669,0.015,0.91136875,1.148888888888889,1.0
1222.0,201700834,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,QSO,QUALITY SYSTEM OFFICER,0.982,0.94375,0.0,0.9762625,0.9977777777777779,0.0
1223.0,200291114,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Barru,READY MIX DEPARTMENT,KOORDINATOR SHIFT,0.927,0.8296875,0.0,0.912403125,1.0514285714285716,0.0
1224.0,200991155,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Barru,READY MIX DEPARTMENT,LABORAT,0.97,0.865625,0.01,0.96434375,1.0,0.2
1225.0,201891278,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.93,0.9895833333333334,,0.933380532,1.0,0.0
1226.0,201291207,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,DRIVER CONCRETE PUMP,0.948,0.7354166666666668,0.0,0.9161125,1.0057142857142858,0.0
1227.0,201291195,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8411458333333334,0.0,0.126171875,1.0,0.0
1228.0,200791135,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.7885416666666667,0.0,0.11828125,0.9742857142857143,0.0
1229.0,201991289,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,LABORAT,0.0,0.9375,0.0,0.140625,1.0,0.0
1230.0,201091208,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,OPERATOR BATCHING PLANT,0.943,0.871875,0.0,0.93233125,1.0514285714285716,0.0
1231.0,200091111,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,OPERATOR CONCRETE PUMP,0.0,0.7390625,0.0,0.110859375,1.0,0.0
1232.0,200891139,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,OPERATOR CONCRETE PUMP,0.953,0.9875,0.0,0.958175,1.1542857142857144,0.0
1233.0,200391121,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Barru,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.8703125,0.0,0.130546875,0.9742857142857143,0.0
1234.0,201591254,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Gorontalo,READY MIX DEPARTMENT,LABORAT,0.982,0.8781249999999999,0.0,0.96641875,1.0514285714285716,0.0
1235.0,201791259,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Gorontalo,READY MIX DEPARTMENT,CREW BATCHING PLANT,0.95,0.7390625,0.0,0.918359375,1.0,0.0
1236.0,200700318,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Ready Mix Proyek Pangkep,READY MIX DEPARTMENT,PROJECT LEADER READY MIX PANGKEP,0.906,0.9244791666666666,0.0,0.908771875,1.1400000000000001,0.5
1237.0,201391230,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Pangkep,READY MIX DEPARTMENT,ADMIN PRODUCTION STAFF,0.925,0.8187500000000001,0.0,0.9090625,1.0,0.0
1238.0,201491235,PT. BUMI SARANA BETON,STAFF/OPERATOR,Ready Mix Proyek Pangkep,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.803125,0.0,0.9289748506,1.0171428571428571,0.0
1239.0,201191179,PT. BUMI SARANA BETON,NON STAFF,Ready Mix Proyek Pangkep,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8250000000000001,0.0,0.12375,1.0,0.0
1240.0,201491234,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Bontoramba,READY MIX DEPARTMENT,LABORAT,0.985,0.8125,0.0,0.9591249999999999,1.0,0.0
1241.0,201591249,PT. BUMI SARANA BETON,NON STAFF,Unit Bontoramba,READY MIX DEPARTMENT,CHECKER ANGKUTAN PRECAST STAFF,0.996,0.7354166666666667,0.0,0.9569125,1.0,0.0
1242.0,201091171,PT. BUMI SARANA BETON,NON STAFF,Unit Bontoramba,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,1.0,0.0,0.15,1.0057142857142858,0.0
1243.0,201000467,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Unit Kendari,READY MIX DEPARTMENT,READY MIX PRODUCTION SECTION HEAD KENDARI,0.963,0.9125,0.025,0.980425,1.0866666666666667,1.0
1244.0,200891140,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Kendari,READY MIX DEPARTMENT,LABORAT,0.977,0.8130208333333333,0.0,0.9524031249999999,0.9771428571428572,0.65
1245.0,201291199,PT. BUMI SARANA BETON,NON STAFF,Unit Kendari,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8536458333333333,0.0,0.128046875,0.9285714285714286,0.0
1246.0,201191189,PT. BUMI SARANA BETON,NON STAFF,Unit Kendari,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.905,0.884375,0.0,0.90190625,1.04,0.0
1247.0,201891271,PT. BUMI SARANA BETON,NON STAFF,Unit Kendari,READY MIX DEPARTMENT,OPERATOR BATCHING PLANT,0.0,0.7177083333333334,0.0,0.10765625000000001,0.9542857142857143,0.0
1248.0,201891270,PT. BUMI SARANA BETON,NON STAFF,Unit Kendari,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.8395833333333335,0.0,0.1259375,0.9285714285714286,0.0
1249.0,201491233,PT. BUMI SARANA BETON,NON STAFF,Unit KIMA 17,READY MIX DEPARTMENT,CREW BATCHING PLANT,0.0,0.9895833333333334,0.0,0.9247178932,1.0085714285714287,0.0
1250.0,201391221,PT. BUMI SARANA BETON,NON STAFF,Unit KIMA 17,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.7505208333333333,0.0,0.11257812499999999,1.0,0.0
1251.0,199991304,PT. BUMI SARANA BETON,NON STAFF,Unit KIMA 17,READY MIX DEPARTMENT,KOORDINATOR SHIFT,0.908,0.7505208333333333,0.0,0.884378125,1.0,0.0
1252.0,200300228,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Unit Lonjoboko,READY MIX DEPARTMENT,STONE CRUSHER PRODUCTION SECTION HEAD,0.88,0.9010416666666669,0.01,0.89315625,0.9955555555555556,0.45
1253.0,201191175,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Lonjoboko,READY MIX DEPARTMENT,ADMIN PRODUCTION / MAINTENANCE STAFF,0.815,0.7635416666666667,0.0,0.80728125,1.0,0.0
1254.0,202104118,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Lonjoboko,READY MIX DEPARTMENT,LOGISTIC STAFF FINISHED GOOD,0.753,0.9895833333333334,0.0,0.7884875,1.1714285714285715,0.3
1255.0,201591248,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,CREW STONE CRUSHER,0.908,0.7354166666666667,0.0,0.8821125000000001,1.0,0.0
1256.0,201591246,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,CREW STONE CRUSHER,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1257.0,201191177,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1258.0,200991161,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1259.0,200391119,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1260.0,200591125,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1261.0,201291206,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1262.0,200591126,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1263.0,200291116,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1264.0,200991158,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1265.0,200891151,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1266.0,201291204,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,KOORDINATOR SHIFT,0.845,0.7354166666666667,0.0,0.8285625,1.0,0.0
1267.0,200791133,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR EXCAVATOR,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1268.0,200991154,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR EXCAVATOR,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1269.0,201591247,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR EXCAVATOR,0.0,0.7822916666666666,0.0,0.11734374999999998,0.9742857142857143,0.0
1270.0,200991157,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1271.0,201291205,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR SCALVIN,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1272.0,200791134,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR STONE CRUSHER,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1273.0,201191178,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR STONE CRUSHER,0.0,0.7822916666666666,0.0,0.11734374999999998,1.0,0.0
1274.0,201191176,PT. BUMI SARANA BETON,NON STAFF,Unit Lonjoboko,READY MIX DEPARTMENT,OPERATOR STONE CRUSHER,0.0,0.7354166666666667,0.0,0.11031250000000001,1.0,0.0
1275.0,201200628,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Unit Tanjung Bunga,READY MIX DEPARTMENT,READY MIX MANAGER,0.896,0.9265625,0.02,0.920584375,1.0822222222222222,1.0
1276.0,200091113,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Unit Tanjung Bunga,READY MIX DEPARTMENT,READY MIX PRODUCTION SECTION HEAD MAKASSAR,0.956,0.8851041666666668,0.0,0.945365625,1.0124444444444445,0.85
1277.0,201891280,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.942,0.7151041666666668,0.0,0.907965625,0.9885714285714287,0.0
1278.0,202104038,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,READY MIX DEPARTMENT,KOORDINATOR ADMIN READY MIX,0.93,0.859375,0.025,0.94440625,1.0885714285714287,1.0
1279.0,201191174,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,READY MIX DEPARTMENT,LABORAT,0.976,0.8687500000000001,0.0,0.9599125000000001,1.062857142857143,0.0
1280.0,201391222,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,READY MIX DEPARTMENT,LABORAT,0.996,0.8557291666666668,0.0,0.9749593750000001,1.0,0.0
1281.0,201191188,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Tanjung Bunga,READY MIX DEPARTMENT,LABORAT,0.962,0.8020833333333334,0.0,0.9380125,0.9228571428571428,0.0
1282.0,200891149,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.942,0.753125,0.0,0.91366875,0.9485714285714285,0.0
1283.0,201891279,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.868,1.0,0.0,0.8878,1.0057142857142858,0.05
1284.0,201091170,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.921,0.8546875,0.0,0.911053125,0.9742857142857143,0.0
1285.0,200991162,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.943,0.9010416666666669,0.0,0.93670625,1.0,0.0
1286.0,201891277,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.954,0.7411458333333333,0.0,0.922071875,1.0,0.0
1287.0,201891275,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.942,0.7718750000000001,0.0,0.9164812499999999,0.9428571428571428,0.0
1288.0,200291115,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.948,0.7838541666666666,0.0,0.9233781249999999,1.0085714285714287,0.0
1289.0,201891276,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,CREW CONCRETE PUMP,0.948,0.9979166666666668,0.0,0.9554874999999999,1.1542857142857144,0.0
1290.0,200891148,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.7390625,0.0,0.110859375,1.0,0.0
1291.0,200691131,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER DUMP TRUCK,0.0,0.8223958333333334,0.0,0.12335937500000001,0.9485714285714285,0.0
1292.0,200791132,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.753125,0.0,0.11296875,1.0,0.0
1293.0,200991165,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8609375,0.0,0.129140625,0.9742857142857143,0.0
1294.0,200891141,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8328125000000001,0.0,0.124921875,1.0,0.0
1295.0,200891143,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8135416666666667,0.0,0.12203125000000001,1.0085714285714287,0.0
1296.0,201791258,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8166666666666668,0.0,0.12250000000000001,0.9485714285714285,0.0
1297.0,200891147,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.90625,0.0,0.13593750000000002,1.0,0.0
1298.0,200991159,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.7296875000000002,0.0,0.10945312500000003,1.0514285714285716,0.0
1299.0,201191180,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8088541666666668,0.0,0.12132812500000001,1.0,0.0
1300.0,201591255,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,DRIVER TRUCK MIXER,0.0,0.8197916666666667,0.0,0.12296875,1.1542857142857144,0.0
1301.0,201291194,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,KOORDINATOR SHIFT,0.927,0.94375,0.0,0.9295125,1.0,0.38
1302.0,200791136,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,KOORDINATOR SHIFT,0.0,0.93125,0.0,0.1396875,1.0171428571428571,0.3
1303.0,201691256,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,LABORAT,0.0,0.9265625,0.0,0.138984375,1.0,0.0
1304.0,201191181,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR BATCHING PLANT,0.933,0.7812500000000001,0.0,0.9102375,1.0171428571428571,0.0
1305.0,201091168,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR CONCRETE PUMP,0.954,0.8234375,0.0,0.934415625,0.9742857142857143,0.0
1306.0,200891137,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR CONCRETE PUMP,0.953,0.7473958333333334,0.0,0.9221593749999999,0.9885714285714287,0.0
1307.0,201091167,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.7671875,0.0,0.115078125,1.0142857142857142,0.0
1308.0,199691301,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR LOADER,0.0,0.7572916666666667,0.0,0.11359375,0.9485714285714285,0.0
1309.0,200891150,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,OPERATOR LOADER,0.74,0.7484375,0.0,0.741265625,1.0,0.3
1310.0,201191172,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,SECURITY,0.0,0.7135416666666667,0.0,0.10703125000000001,0.9542857142857143,0.0
1311.0,200891138,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,SECURITY,0.0,0.7390625,0.0,0.110859375,1.0,0.0
1312.0,200391120,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,SURVEYOR,0.0,0.8031250000000001,0.0,0.12046875000000001,1.0,0.0
1313.0,201291193,PT. BUMI SARANA BETON,NON STAFF,Unit Tanjung Bunga,READY MIX DEPARTMENT,SURVEYOR,0.0,0.7812500000000001,0.0,0.11718750000000001,1.0,0.0
1314.0,201200627,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,RESEARCH & DEVELOPMENT,RESEARCH AND DEVELOPMENT SECTION HEAD,0.962,0.9692708333333332,0.04,1.003090625,1.1155555555555559,1.0
1315.0,201891274,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,RESEARCH & DEVELOPMENT,RESEARCH AND DEVELOPMENT STAFF,0.992,0.9255208333333332,0.025,1.007028125,0.9800000000000001,1.0
1316.0,200200204,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Head Office Wisma Kalla,SALES & MARKETING DIVISION,SALES & MARKETING GENERAL MANAGER,0.75,0.99375,0.01,0.7965625,1.148888888888889,1.0
1317.0,201903049,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Head Office Wisma Kalla,SALES DEPARTMENT,SALES MANAGER (BATA RINGAN & SEMEN INSTAN),0.871,0.9177083333333332,0.02,0.89800625,0.9933333333333334,1.0
1318.0,201500714,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Head Office Wisma Kalla,SALES DEPARTMENT,SALES MANAGER (READY MIX &PRECAST),0.855,0.9255208333333336,0.02,0.8855781250000001,1.028888888888889,0.9
1319.0,201100456,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,SALES DEPARTMENT,MARKETING ASSISTANT MANAGER,0.954,0.9739583333333334,0.025,0.98199375,1.1333333333333333,1.0
1320.0,201300640,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,SALES DEPARTMENT,SALES ADMIN SECTION HEAD,0.982,0.9859375,0.05,1.032590625,1.1,1.0
1321.0,201600847,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,ADMIN SALES STAFF,0.969,0.990625,0.02,0.99224375,1.1714285714285715,1.0
1322.0,202191338,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,MARKETING STAFF,0.99,1.0,0.0,0.9915,1.1714285714285715,1.0
1323.0,201391228,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,SALESMAN,0.797,0.9385416666666668,0.01,0.82823125,1.0114285714285716,1.0
1324.0,200900356,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,SALESMAN,0.803,0.9817708333333334,0.02,0.849815625,1.0,1.0
1325.0,199700159,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,SALESMAN,0.801,0.9625,0.01,0.8352250000000001,0.9228571428571428,1.0
1326.0,201500837,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SALES DEPARTMENT,SALESMAN,1.0,0.9979166666666668,0.01,1.0096874999999998,1.0885714285714287,1.0
1327.0,200591122,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit Kendari,SALES DEPARTMENT,SALESMAN,0.689,0.9671875,0.0,0.730728125,0.9542857142857143,0.05
1328.0,201100425,PT. BUMI SARANA BETON,OPERATIONAL LEADERS,Unit KIMA 17,SEMEN INSTAN DEPARTMENT,SEMEN INSTAN MANAGER,0.919,0.9671875,0.02,0.946228125,1.0666666666666667,0.83
1329.0,201400749,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit KIMA 17,SEMEN INSTAN DEPARTMENT,ADMIN PRODUCTION STAFF,0.931,0.9979166666666668,0.01,0.9510375,1.0171428571428571,0.55
1330.0,201291196,PT. BUMI SARANA BETON,STAFF/OPERATOR,Unit KIMA 17,SEMEN INSTAN DEPARTMENT,PRODUCTION COORDINATOR STAFF,0.905,0.9958333333333332,0.01,0.928625,1.0685714285714287,1.0
1331.0,201700891,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,SMO,STRATEGIC MANAGEMENT SENIOR OFFICER,0.961,0.8078124999999999,0.01,0.948021875,1.077777777777778,0.0
1332.0,201400605,PT. BUMI SARANA BETON,TECHNICAL LEADERS,Head Office Wisma Kalla,SUPPLY CHAIN,SUPPLY CHAIN OFFICER,0.979,0.9645833333333332,0.03,1.0068374999999998,1.12,1.0
1333.0,201500639,PT. BUMI SARANA BETON,STAFF/OPERATOR,Head Office Wisma Kalla,SUPPLY CHAIN,SUPPLY CHAIN STAFF,0.889,0.9932291666666668,0.02,0.9246343750000001,1.102857142857143,0.35
1334.0,201903247,PT. KALLA INTI KARSA,EXECUTIVE LEADERS,HEAD OFFICE,DIRECTOR,CHIEF OPERATION OFFICER,0.838,0.9286458333333334,0.0,0.8515968749999999,1.008888888888889,1.0
